名称,经纬度
朱杖子站,"119.293832,40.784086"
金帛湾站,"122.07857,40.757266"
沈阳北站(西南进站口),"123.435995,41.81846"
盘锦北站(西北进站口),"121.807577,41.335692"
抚顺北站(南出站口),"123.916933,41.888204"
大连站(南出站口),"121.633896,38.92231"
沈阳北站(南A2出站口),"123.43549,41.817858"
沈阳北站(南A1出站口),"123.437293,41.818481"
沈阳站(进出站口西B2),"123.392276,41.795352"
沈阳火车站西广场-出站口A1-A2,"123.39133,41.79609"
沈阳北站(北B进站口),"123.435161,41.821331"
大连站(南一楼进站口),"121.63327,38.921909"
沈阳站(东出站口),"123.395543,41.79475"
沈阳站西广场(B2出站口)(建设中),"123.391973,41.796456"
沈阳站(东A进站口),"123.395399,41.794472"
沈阳站(B1出站口),"123.394138,41.794551"
沈阳站(A2出站口),"123.392154,41.794532"
大连北站(南A1出站口),"121.607893,39.016835"
大连北站(南B1出站口),"121.606328,39.016813"
大连北站(北A2出站口),"121.605848,39.018101"
大连北站(北B2出站口),"121.606024,39.018156"
大连站(南二楼进站口),"121.633207,38.92189"
大连站(出口),"121.633124,38.922193"
沈阳站西广场(A2出站口),"123.390895,41.794948"
沈阳北站(南A2进站口),"123.436563,41.818196"
沈阳站(东广场A进站口),"123.39523,41.794376"
盘锦北站(出站口),"121.80797,41.336096"
抚顺北站(南进站口),"123.918011,41.88855"
大连北站(北B进站口),"121.606683,39.017608"
大连北站(南A1进站口),"121.608698,39.015842"
大连北站(南A2进站口),"121.608265,39.015704"
大连站北广场(北一楼进站口),"121.632165,38.923013"
沈阳北站(南A1进站口),"123.436406,41.818348"
沈阳北站(北出站口),"123.434191,41.820988"
沈阳站(西一出站口),"123.391561,41.795041"
沈阳站(西二出站口),"123.392407,41.796161"
沈阳站(西广场B进站口),"123.391949,41.795258"
沈阳站(西广场B进站口),"123.391949,41.795258"
商洛站,"110.018448,33.821922"
西安站,"108.961831,34.277618"
宝鸡站,"107.152717,34.3725"
西安北站,"108.938822,34.376286"
宝鸡南站,"107.232565,34.333935"
渭南北站,"109.480997,34.535806"
华山北站,"110.098646,34.581727"
西安南站,"109.102016,34.092775"
任家湾站,"107.106187,34.339277"
咸阳站,"108.734386,34.344354"
渭南站,"109.493139,34.484132"
榆林站,"109.72118,38.27343"
延安站,"109.481123,36.557023"
兴平站,"108.489069,34.288861"
韩城站,"110.441705,35.484623"
安康站,"109.016361,32.712586"
汉中站,"107.029963,33.090721"
新丰镇站,"109.28473,34.432658"
蒲城东站,"109.610083,34.988753"
蔡家坡站,"107.597677,34.320734"
城固北站,"107.305999,33.18395"
旬阳北站,"109.297519,32.84036"
神木北站,"110.446527,39.039814"
临潼站,"109.212284,34.388372"
富县东站,"109.398277,36.021192"
城固站,"107.322898,33.138565"
潼关站,"110.247862,34.535756"
蒲城站,"109.559003,34.934579"
阎良站,"109.228675,34.668207"
绥德站,"110.262083,37.546699"
渭南西站,"109.440989,34.478339"
凤县站,"106.506268,33.904937"
树园站,"109.607087,34.494337"
三原站,"108.9477,34.605069"
陇县站,"106.850642,34.870996"
略阳站,"106.1462,33.330823"
武功站,"108.204937,34.257937"
紫阳站,"108.549432,32.525213"
白河东站,"110.114505,32.804341"
杨陵南站,"108.053102,34.254013"
咸阳秦都站,"108.666984,34.331019"
镇安站,"109.169879,33.421216"
勉县站,"106.691706,33.171358"
米脂站,"110.172869,37.747422"
汉阴站,"108.506357,32.877164"
丹凤站,"110.354317,33.679804"
韦庄站,"109.936213,34.970219"
千阳站,"107.1158,34.635206"
子长站,"109.747594,37.15297"
神东站(暂停营业),"110.227848,39.277784"
子长站,"109.747594,37.15297"
神东站(暂停营业),"110.227848,39.277784"
定边站,"107.576444,37.561652"
渭南站(北出站口),"109.493929,34.484727"
乾县站,"108.277898,34.504991"
福临堡站,"107.096055,34.383866"
靖边站,"108.755896,37.619361"
柞水站,"109.146496,33.639059"
火烧寨站,"106.77603,35.040178"
小河镇站,"109.156904,33.111969"
白河县站,"110.098843,32.833659"
凤州站,"106.655009,33.969915"
杨凌站,"108.078259,34.269023"
富县站,"109.389574,36.008759"
商南站,"110.901163,33.526757"
鄠邑站,"108.67988,34.079547"
清涧县站,"109.998017,37.167149"
石泉站(建设中),"108.252176,33.028541"
孙镇站,"109.766018,34.976852"
前河镇站,"108.925125,35.307845"
灞源站,"109.671596,34.148629"
临潼东站,"109.255989,34.432058"
灞桥火车站,"109.059725,34.300233"
彬州站,"108.105766,35.045408"
何寨站,"109.320713,34.498444"
娘娘庙站,"106.942857,34.804773"
瓷窑湾站,"110.189935,39.346041"
秦岭站,"106.904616,34.232933"
窑村站,"109.12718,34.343671"
延安站(西北出站口),"109.481246,36.558422"
小纪汗站,"109.50787,38.423796"
西乡站,"107.761631,32.994297"
萧家村站,"108.917015,34.420714"
马蹄湾站,"106.04521,33.467858"
洋县西站,"107.52329,33.226505"
青石崖站,"106.961662,34.263614"
苏家坡站,"109.824663,35.038865"
大竹园站,"108.726904,32.559872"
坡底村站,"109.824186,35.092145"
府谷站,"111.045226,39.051677"
子洲站,"109.952827,37.610873"
甘泉北站,"109.346535,36.27839"
咸阳站(南进站口),"108.734896,34.343781"
咸阳站(南出站口),"108.734423,34.343881"
大保当站,"110.037961,38.663256"
佛坪站,"107.984045,33.500038"
大柳塔南站,"110.243754,39.259534"
虢镇站,"107.363772,34.363215"
旬阳站,"109.353571,32.836432"
柏庙沟站,"109.137578,35.093212"
阿房宫站,"108.756886,34.27016"
安康站(进站口),"109.017456,32.712371"
榆林站(东北出站口),"109.720655,38.273995"
汉中站(南出站口),"107.029594,33.089591"
鱼河站,"109.853956,38.007629"
白村站,"110.491586,35.548447"
华山站,"110.139745,34.554792"
永寿站,"108.151309,34.705961"
砚川站,"109.880488,34.024469"
咸阳北塬站(建设中),"108.674026,34.418588"
梁山站,"108.186329,34.585704"
石庙沟站,"108.928714,32.64573"
营镇火车站(暂停营业),"109.036455,33.795578"
固川站,"106.970422,34.408919"
柳林镇站,"108.830625,35.046284"
渭南西站(进站口),"109.441182,34.478441"
孙镇站(北进站口),"109.766043,34.977023"
吴堡站,"110.666278,37.48126"
罕井站,"109.606262,35.111566"
汉阴站(东北出站口),"108.506909,32.877083"
魏家楼火车站,"109.561594,37.562144"
渭南西站(出站口),"109.440892,34.478437"
安康站(出站口),"109.01548,32.711654"
凤县黄牛铺站,"106.828661,34.195176"
孙镇站(北出站口),"109.766101,34.977004"
汉中站(南进站口),"107.030109,33.090016"
茂陵站,"108.612594,34.315097"
新场街站,"108.338939,33.741908"
王家坎站,"107.118153,33.099937"
延安站(西进站口),"109.481159,36.557405"
白龙塘站,"107.837076,33.068191"
榆林站(东北进站口),"109.720748,38.273792"
田庄镇站,"110.168362,37.426399"
灵源站,"108.352597,34.474957"
岐山站,"107.612831,34.2744"
西安北车站,"108.935953,34.373538"
礼泉站,"108.419048,34.431469"
桑树坪站,"110.55656,35.681571"
小河镇站(东南出站口),"109.15714,33.111891"
蜀河站,"109.682948,32.905344"
长武站,"107.822245,35.271971"
高潭子站,"106.046106,33.122704"
镇川站,"110.114779,37.842191"
安边站,"107.945751,37.56442"
宁强南站,"106.288896,32.821796"
白勉峡站,"107.960886,33.029106"
澄城站,"109.939592,35.285708"
蟠龙镇站,"109.613649,36.884566"
横山站,"109.304563,38.020298"
建华站(建设中),"109.289499,37.047082"
高滩站(暂停营业),"108.328124,32.414612"
永乐店站,"108.946776,34.534445"
关山站,"109.375318,34.707791"
石窑店站,"110.441807,39.123132"
黄蒿界站(建设中),"109.020832,37.745852"
海则滩站,"108.881021,37.785194"
靖边北站,"109.019437,37.648679"
义合站,"110.490775,37.510022"
涧池铺站,"108.594529,32.827985"
杨凌站(南出站口),"108.079265,34.268844"
新集站,"106.804853,33.024104"
燕家塔站,"110.36701,39.118955"
独李村站,"109.082839,34.633023"
毛坝关站,"108.251223,32.342131"
凤翔站,"107.250584,34.461476"
茶镇站,"108.055031,33.03951"
洞子崖站,"109.736016,35.227007"
合阳北站,"110.091211,35.288883"
三原站(北出站口),"108.947852,34.605329"
三原站(北进站口),"108.947708,34.605348"
商洛站(西南出站口),"110.017947,33.821604"
镇安站(西南出站口),"109.169473,33.420935"
南市站,"108.501381,34.341186"
西社站,"109.730986,35.24158"
棕溪站,"109.562497,32.869424"
大米溪车站,"108.598368,32.503722"
白水江站,"106.08191,33.573836"
丹凤站(东北出站口),"110.354544,33.68048"
梅子铺站,"108.694172,32.767199"
道镇站,"109.374777,36.132311"
建河站,"106.351304,34.522474"
高梁铺站,"108.417837,32.91274"
千河站,"107.303755,34.39117"
定边站(南出站口),"107.578765,37.561439"
子长站(东南出站口),"109.747957,37.15258"
徐家坪站,"106.053548,33.402596"
沙河坎站,"107.516917,32.980561"
张桥站,"109.402273,34.772325"
岐山站(北出站口),"107.613455,34.274142"
岐山站(北进站口),"107.613273,34.274176"
芝阳站,"110.330668,35.366566"
晏家坝站,"107.466562,33.112212"
凤阁岭站,"106.448363,34.531357"
商洛站(西南进站口),"110.018449,33.821638"
武功站(东北出站口),"108.20522,34.258061"
大程站,"109.169544,34.653973"
黄陵南站,"109.389934,35.580552"
杨凌站(南进站口),"108.078872,34.268836"
阳平关站,"106.03735,32.96665"
杜赵站,"109.653123,34.938384"
横现河站,"106.082976,33.344224"
水沟站,"107.038116,34.723267"
三花石站,"107.963697,33.099188"
麻柳站,"108.194506,32.29779"
镇安站(西南进站口),"109.169456,33.420999"
巴山站,"108.118582,32.256845"
马嵬坡站,"108.352071,34.266292"
冯家山站,"107.189392,34.524326"
东口站,"106.70218,34.371756"
颜家河站,"106.795692,34.376715"
定边站(南进站口),"107.578298,37.561384"
拓石站,"106.530776,34.496773"
武功站(东北进站口),"108.205126,34.258156"
宁条梁站,"108.356117,37.592384"
五堵门站,"107.462077,33.038057"
清涧县站(西南出站口),"109.997873,37.167002"
商镇站,"110.260958,33.715547"
丹凤站(东北进站口),"110.35449,33.67996"
韩城站(出站口),"110.442006,35.484217"
靖边站(东南出站口),"108.755814,37.619355"
米脂站(东北进站口),"110.17282,37.747959"
鲍渠火车站,"109.189417,37.596654"
新筑火车站,"109.057657,34.414481"
钟家村站,"109.469664,34.822182"
坊塘铺站,"107.000173,34.394317"
宁强站,"106.32167,33.061462"
后车凹站,"108.913441,35.256172"
勉西站,"106.639914,33.137203"
华县站(暂停营业),"109.762364,34.495386"
黄家寨站,"108.768393,34.322824"
富县东站(东南出站口),"109.398278,36.020614"
蒲石站,"109.710792,34.886657"
七里镇站,"109.096239,35.625908"
杨陵南站(南进站口),"108.053224,34.253618"
阎良站(南出站口),"109.228803,34.668046"
惠刘站,"109.306272,34.70787"
八里店站,"109.238521,34.705479"
寺沟站,"108.938241,34.938116"
吕河站,"109.312042,32.754744"
定边站(北进站口),"107.577199,37.561789"
梅家坪站,"109.008405,34.870161"
安康东站,"109.085553,32.721979"
王家坨站,"106.11233,33.255395"
耀县西站,"108.965566,34.910515"
靖边站(出发),"108.755862,37.61936"
黄堡站,"109.033933,35.008134"
杨陵南站(南出站口),"108.052691,34.253656"
史寨站,"106.870387,33.181687"
吕渠河站,"108.897879,34.996074"
富县站(进站口),"109.38948,36.009124"
富县站(出站口),"109.389739,36.00893"
聂家河站,"108.843892,35.146859"
安子沟站,"108.875231,35.239538"
清涧县站(西南进站口),"109.998324,37.166882"
子洲站(西北进站口),"109.953083,37.611325"
燕子砭站,"105.944072,32.916473"
大荔站,"109.926368,34.834073"
富平站(东北进站口),"109.173887,34.744006"
白河冷水站,"109.880131,32.896372"
蔡河站,"109.486639,35.360076"
合阳站,"110.090868,35.194654"
富县东站(东南进站口),"109.398202,36.020983"
子洲站(西北出站口),"109.953189,37.611387"
阎良站(南进站口),"109.228887,34.66805"
新城川站,"110.733471,39.085877"
长哨站,"109.189133,33.35804"
田家咀站,"108.812778,35.107209"
米脂站(东北出站口),"110.173239,37.748084"
朱家河站,"109.481421,35.164867"
张家船站,"109.589465,35.320763"
白水县站,"109.704642,35.352523"
七峰站,"110.044084,35.108434"
刘家沟站,"109.403683,35.56276"
涧池铺站,"108.560444,32.837468"
上洼站,"110.198702,35.34072"
黄陵站,"109.356264,35.618879"
神木站,"110.455929,38.937756"
曾溪站,"108.150648,33.031495"
中鸡站,"110.002948,39.129511"
西安南站(西南进站口),"109.101502,34.093012"
西安站(南一进站口),"108.963699,34.276632"
西安站(南二进站口),"108.961894,34.276623"
西安北站(东进站口),"108.939277,34.376162"
西安南站(西南出站口),"109.101407,34.093234"
西安南站(西进站口),"109.101434,34.092924"
西安站(南出站口),"108.961521,34.277043"
宝鸡站(南进站口),"107.153004,34.372809"
西安北站(南进站口),"108.939375,34.374057"
西安站(南进站口),"108.962791,34.276969"
宝鸡站(南出站口),"107.152154,34.372855"
华山北站(南进站口),"110.098537,34.581549"
华山北站(南出站口),"110.099271,34.581587"
渭南北站(东南出站口),"109.481196,34.536296"
渭南北站(东南进站口),"109.481339,34.536307"
渭南北站(东南进站口),"109.481339,34.536307"
海口东站,"110.342817,19.983432"
海口站,"110.161461,20.02744"
三亚站,"109.492866,18.296346"
琼海站,"110.491326,19.240309"
亚龙湾站,"109.602503,18.302125"
文昌站,"110.737578,19.606088"
万宁站,"110.381221,18.807682"
乐东站,"108.939147,18.445813"
城西站,"110.332042,19.996117"
陵水站,"110.033396,18.535868"
银滩站,"109.489131,19.790278"
美兰站,"110.462791,19.940758"
东方站,"108.691224,19.088709"
秀英站(B口),"110.275049,19.995864"
老城镇站,"110.117662,19.932714"
秀英站,"110.2759,19.996198"
金月湾站,"108.715065,18.778563"
福山镇站,"109.918465,19.876193"
崖城站(南出站口),"109.157461,18.376269"
澄迈站,"109.980108,19.773954"
崖州站,"109.157599,18.376103"
昌感站,"108.697121,19.127699"
棋子湾站,"108.80732,19.337715"
博鳌站,"110.486734,19.136195"
凤凰站(北进站口),"109.411222,18.30773"
临高南站,"109.759398,19.86773"
神州站,"110.30777,18.724717"
长流站,"110.206434,19.991829"
凤凰机场站,"109.408878,18.308999"
秀英站(A口),"110.275934,19.99662"
黄流站,"108.831268,18.528414"
崖城站(南进站口),"109.157699,18.376285"
白马井站,"109.253828,19.658956"
海头站(建设中),"108.993651,19.494028"
南山北站(暂停营业),"109.210215,18.317575"
凤凰站(北出站口),"109.411222,18.30773"
尖峰站,"108.752478,18.620812"
天涯站(建设中),"109.443392,18.313816"
和乐站(建设中),"110.458421,18.923261"
和乐站(建设中),"110.458421,18.923261"
宁德站,"119.583147,26.668939"
福鼎站,"120.18911,27.282527"
霞浦站,"120.032436,26.909369"
福州站,"119.320571,26.113972"
厦门站,"118.116253,24.467545"
漳州东站,"117.744661,24.564423"
厦门北站,"118.074184,24.635894"
福州南站,"119.390641,25.985546"
武夷山北站,"118.044937,27.777842"
泉州站,"118.568377,24.972716"
晋江站,"118.459252,24.794305"
建瓯西站,"118.279852,27.048577"
莆田站,"119.063891,25.350629"
福清站,"119.385294,25.675722"
延平站,"118.272901,26.590353"
闽清北站,"118.877065,26.286935"
建阳站,"118.113798,27.354563"
邵武站,"117.480697,27.350333"
连江站,"119.56712,26.194316"
南平市站,"118.093292,27.473006"
武夷山站,"118.030053,27.729723"
永定站,"116.744039,24.734582"
涵江站,"119.175937,25.491836"
永安站,"117.378546,25.975233"
漳平站,"117.419492,25.306656"
建瓯站,"118.294263,27.023456"
冠豸山站,"116.679888,25.524273"
坎市站,"116.908866,24.916911"
来舟站,"117.986947,26.625327"
顺昌站,"117.816203,26.800006"
罗源站,"119.57664,26.455584"
甘蔗站,"119.131494,26.153685"
光泽站,"117.351833,27.550338"
福安站,"119.717261,26.833812"
尤溪站,"118.142681,26.167378"
三明北站,"117.806777,26.375574"
湖头站,"118.027829,25.235797"
云霄站,"117.361188,23.891582"
永浆站,"117.393228,25.94023"
前场站,"117.977897,24.56974"
古田北站,"118.665532,26.462376"
诏安站,"117.098154,23.771247"
南靖站,"117.449332,24.579082"
漳浦站,"117.563403,24.095852"
格口站,"117.659899,25.279649"
长汀南站,"116.358275,25.766629"
龙岩站,"117.007704,25.09663"
XIAMEN NORTH RAILWAY STATION,"118.074502,24.635107"
大目埕站,"118.989101,26.197366"
漳州站,"117.71604,24.457661"
大目埕站,"118.989101,26.197366"
将乐站,"117.479571,26.695496"
永安南站,"117.389488,25.937732"
华安站,"117.538967,24.999253"
下过溪站,"118.4165,26.429787"
麦园站,"117.501963,25.583205"
新泉站,"116.650738,25.390214"
永泰站,"118.933949,25.848546"
金谷站,"118.10988,25.169195"
建宁县北站,"116.8709,26.915691"
葫芦山车站,"118.391188,26.511724"
卓宅站,"117.384451,25.353416"
打虎坑站,"117.448826,25.804286"
松下站(建设中),"119.595613,25.754301"
平潭站(建设中),"119.782342,25.54609"
易坑站,"117.50372,25.268081"
龙山镇站,"117.362764,24.691885"
延平东站(出站口),"118.21468,26.62629"
延平东站,"118.214509,26.625827"
桂口站,"117.385663,25.891157"
永定站(西出站口),"116.743939,24.734661"
拿口站,"117.652469,27.133369"
南平市站(西进站口),"118.093771,27.472954"
钱坂站,"117.437641,25.416997"
漳平站候车厅,"117.419335,25.306585"
延平西站,"118.113137,26.567326"
惠安站,"118.714884,25.057314"
长乐站(建设中),"119.485019,25.924469"
将乐站(东出站口),"117.478638,26.694731"
洋庄站,"117.920259,27.834422"
宁德站(西南进站口),"119.583662,26.668655"
建宁县北站(东北进站口),"116.870839,26.915971"
贡川站,"117.447683,26.092705"
岭头站,"117.484424,25.779875"
泉州东站(西北出站口),"118.63946,24.921029"
建瓯站(东南进站口),"118.294452,27.023697"
苏坂站,"117.280113,25.311699"
长乐东站(建设中),"119.557189,25.856127"
古田会址站,"116.772548,25.184256"
龙岩站贵宾候车室,"117.007563,25.096201"
南平市站(西出站口),"118.093675,27.47363"
磹口站,"117.641269,24.688775"
城口站,"117.506719,25.672817"
永安南站(进站口),"117.390416,25.938338"
长泰站,"117.704875,24.628074"
泉州站(南进站口),"118.567939,24.97279"
夏茂站,"117.629741,26.552424"
漳平站(南进站口),"117.419635,25.306931"
宁德站(西北出站口),"119.583382,26.669943"
城门站,"117.462993,25.490089"
福鼎站(东进站口),"120.189096,27.282435"
漳浦站(东南出站口),"117.563127,24.09596"
雁石南站,"117.153751,25.240913"
漳浦站(东南进站口),"117.563435,24.096278"
将乐站(东进站口),"117.478369,26.695231"
尤溪站(东北出站口),"118.142174,26.166976"
尤溪站(东北进站口),"118.141861,26.167272"
云霄站(西北出站口),"117.361853,23.891718"
云霄站(西北进站口),"117.361508,23.891319"
诏安站(东南出站口),"117.097377,23.771826"
药村站,"117.462548,27.383476"
柯周坑站,"117.513263,25.727143"
龙岩站行包快件受理厅,"117.415405,25.305277"
漳平站贵宾室,"117.419625,25.30659"
太姥山站,"120.224065,27.126633"
建宁县北站(东北出站口),"116.871363,26.915431"
溪南坂站,"117.566468,24.899336"
漳平站(西出站口),"117.419811,25.306326"
连江站(南出站口),"119.56643,26.193935"
三明站,"117.590044,26.228233"
西洋站,"117.430727,25.817819"
永定站(西进站口),"116.743802,24.734843"
梅水坑站,"117.529979,25.236001"
连江站(南进站口),"119.567074,26.194227"
三明北站(东北出站口),"117.806654,26.3759"
三明北站(东北进站口),"117.806575,26.375913"
武夷山北站(西进站口),"118.045127,27.777948"
武夷山北站(西出站口),"118.044886,27.778401"
古田北站(北出站口),"118.66508,26.462148"
古田北站(北进站口),"118.665266,26.462131"
上游站,"117.701415,26.316166"
福清站(东出站口),"119.384871,25.675302"
泰宁站,"117.153328,26.926804"
建瓯站(东南出站口),"118.294171,27.023464"
建瓯西站(东南出站口),"118.278997,27.049558"
建瓯西站(东南进站口),"118.27938,27.048704"
莫口站,"117.454689,27.412248"
福鼎站(东进站口),"120.19023,27.282958"
水口站,"118.749236,26.356488"
芦芝站,"117.463054,25.277111"
邵武站(南进站口),"117.48054,27.350305"
邵武站(南出站口),"117.480918,27.350222"
霞浦站(南进站口),"120.032725,26.909316"
上杭站(东出站口),"116.738067,25.182131"
铁山洋站,"117.061082,25.141222"
泰宁站(西南出站口),"117.153108,26.926711"
罗源站(东出站口),"119.577311,26.455692"
福鼎站(东出站口),"120.190172,27.282625"
霞浦站(南出站口),"120.032199,26.909381"
泰宁站(西南进站口),"117.153285,26.926664"
大源村站,"117.261887,27.555132"
仙游站,"118.871635,25.250204"
官墩站,"117.599759,27.188189"
诏安站(东南进站口),"117.097807,23.772084"
西陇站,"117.317049,27.566027"
漳州站(出站口),"117.716725,24.457502"
涵江站(南进站口),"119.175889,25.49153"
中复站,"116.554177,25.581743"
龙海站,"117.8141,24.521522"
光泽站(西南进站口),"117.351624,27.550272"
角美站(东南进站口),"117.880431,24.526358"
照口站,"118.027448,26.685292"
光泽站(西南出站口),"117.351483,27.550351"
涵江站(南出站口),"119.175509,25.491455"
埔上站,"117.775368,26.93046"
漳州站(西北进站口),"117.715963,24.457187"
大禾山站,"117.160279,27.594461"
西坑站,"117.400792,26.049015"
角美站,"117.880223,24.525784"
福清站(东进站口),"119.384978,25.675541"
加福站,"117.185058,25.987475"
宁德站(西出站口),"119.58318,26.669759"
角美站(东南出站口),"117.880016,24.526242"
陈坊站,"117.699596,27.028356"
吉舟站,"117.780336,26.875052"
吴家塘站,"117.620707,27.246164"
双洋站,"117.373525,25.618692"
厦门站(北出站口),"118.115617,24.468204"
罗源站(东进站口),"119.577311,26.455752"
铁关村站,"117.116452,27.676778"
辋川火车站(暂停营业),"118.87257,25.06174"
福州站(西北出站口),"119.318711,26.112404"
漳平西站,"117.360563,25.322124"
厦门站(西北进站口),"118.115627,24.468833"
仙游站(出站口),"118.871055,25.25016"
仙游站(东南进站口),"118.871246,25.250517"
延平站(西南出站口),"118.272313,26.590853"
延平站(西南进站口),"118.272898,26.590585"
北进站大厅(厦门北站),"118.073451,24.636851"
厦门北站(南进站大厅),"118.074261,24.6351"
福州南站(2F西进站口3),"119.389221,25.985482"
福州南站(西出站口),"119.389347,25.985223"
福州站(出站口),"119.320428,26.11479"
莆田站(1进站口),"119.06364,25.350911"
莆田站(2进站口),"119.063529,25.350604"
福州站(2层北进站口),"119.320363,26.114809"
福州站(南出站口),"119.319566,26.112072"
厦门站(南出站口),"118.11652,24.467008"
厦门站(南进站口),"118.116609,24.467099"
福州站(北5进站口),"119.320629,26.114872"
漳州东站(东南进站口),"117.744907,24.564634"
福州站(1层北进站口),"119.32079,26.114561"
福州站(北出站口),"119.320951,26.114744"
漳州东站(西南进站口),"117.744726,24.564735"
漳州东站(西南出站口),"117.74462,24.564945"
福州南站(西1进站口),"119.389444,25.985901"
厦门北站(南2出站口),"118.074887,24.63648"
厦门北站(南1出站口),"118.073346,24.635784"
晋江站(东南出站口),"118.458724,24.794189"
晋江站(东南进站口),"118.459144,24.794454"
莆田站(东出站口),"119.063262,25.349852"
厦门北站(南进站口),"118.074667,24.635153"
厦门站(北进站口),"118.115165,24.468633"
福州站(南进站口),"119.319931,26.112635"
福州站(南进站口),"119.319931,26.112635"
西昌站,"102.224089,27.877385"
西昌南站,"102.213322,27.838973"
成都站,"104.073739,30.697071"
成都东站,"104.141094,30.628931"
绵阳站,"104.717671,31.459579"
达州站,"107.452874,31.198045"
都江堰站,"103.638328,30.957225"
眉山东站,"103.822478,30.066581"
南充站,"106.086002,30.807897"
江油站,"104.770711,31.780902"
资阳北站,"104.68237,30.12561"
广元站,"105.821163,32.450286"
大英东站,"105.280208,30.567637"
简阳站,"104.553171,30.378827"
双流机场站,"103.956452,30.569169"
犀浦站,"103.972131,30.757376"
新津站,"103.87099,30.465171"
广安站,"106.896649,30.493628"
土溪站,"107.06103,31.014558"
自贡站,"104.791412,29.355893"
简阳南站,"104.518357,30.353619"
新津南站,"103.857052,30.348988"
隆昌站,"105.280755,29.356031"
内江站,"105.036374,29.587847"
攀枝花站,"101.850876,26.543674"
峨眉山站,"103.466479,29.576403"
华蓥站,"106.781129,30.363101"
开江站,"107.801205,30.914013"
资中北站,"104.872335,29.796491"
公兴站,"103.96975,30.475622"
宜宾站,"104.60112,28.751731"
竹园坝站,"105.335193,32.225899"
广汉北站,"104.275415,31.008877"
罗江东站,"104.535626,31.303533"
眉山站,"103.812306,30.064003"
峨眉站,"103.52133,29.584927"
渠县站,"107.012294,30.805657"
阆中站,"105.957628,31.557975"
隆昌北站,"105.29044,29.465019"
彭山北站,"103.861436,30.207597"
遂宁站,"105.541628,30.542454"
巴中站,"106.765085,31.8748"
资阳站,"104.651817,30.124752"
燕岗站,"103.524068,29.552865"
营山站,"106.56927,31.064432"
蓬安站,"106.423735,30.999995"
宣汉站,"107.659297,31.542126"
南部站,"106.013825,31.371028"
资中站,"104.865522,29.76762"
汉源站,"102.905741,29.232695"
汉源站,"102.905741,29.232695"
彭州站,"103.92506,30.978767"
大英站,"105.254622,30.574711"
广元站(出站口),"105.821367,32.450198"
桐子林站,"101.855286,26.71055"
南充北站,"106.070906,30.85633"
米易站,"102.113653,26.874412"
迎宾路站(D进站口),"103.641811,30.981427"
青白江东站,"104.225489,30.894749"
聚源站,"103.701684,30.932954"
新都东站,"104.194385,30.799615"
迎宾路站(A进站口),"103.641039,30.980774"
旺苍站,"106.267246,32.228327"
乐山北站(建设中),"103.576952,29.751264"
普雄站,"102.650085,28.51467"
离堆公园站,"103.623916,30.993627"
三汇镇站,"107.169896,31.012755"
迎宾路站,"103.641822,30.981442"
成都南站,"104.068451,30.606137"
渡市站,"107.283825,31.025411"
青城山站,"103.606316,30.892583"
蓬溪站,"105.705718,30.67971"
蒲家站,"107.512321,31.385068"
万源站,"108.042224,32.083835"
八庙站,"106.88811,31.03548"
青城山站(西南出站口),"103.606583,30.892647"
沙湾站,"103.537693,29.412249"
德昌站,"102.186766,27.39557"
广汉北站(东南进站口),"104.276109,31.009161"
安靖站(东南进站口),"104.036802,30.737065"
石柱槽站,"107.598029,31.454593"
青城山站(西南进站口),"103.606506,30.892382"
自贡大山铺站,"104.849317,29.413419"
华蓥站(西出站口),"106.780913,30.363256"
迎宾路站(C进站口),"103.642882,30.981263"
广安南站(进站口),"106.592066,30.451803"
岳池站,"106.470693,30.536512"
毛坝站,"107.744953,31.616144"
迎宾路站(B进站口),"103.641569,30.9806"
灵仙庙站,"104.48789,30.572969"
内江北站,"105.085032,29.609332"
彭州南站,"103.940389,30.940756"
江油北站,"105.075939,31.982744"
聚源站(西南出站口),"103.700962,30.932929"
高兴站,"106.734942,30.2767"
广汉北站(东南出站口),"104.276038,31.008996"
广安南站(东北出站口),"106.593363,30.451231"
玉峰站,"105.166033,30.594356"
武胜站,"106.106033,30.369526"
孔滩站,"104.678774,29.138904"
喜德站,"102.39928,28.309828"
甘洛站,"102.763296,28.979398"
养马河站,"104.505994,30.506367"
青花站,"108.003476,31.979082"
苍溪站,"105.915378,31.759727"
青莲站,"104.701346,31.670769"
峨眉山站(西进站口),"103.465602,29.576639"
谭家坝站,"104.56432,31.354415"
朝天站,"106.072478,32.705063"
崇州站,"103.682554,30.60997"
中和站,"106.676066,30.333997"
长沙埂站,"104.662876,30.003446"
华蓥站(西进站口),"106.781012,30.36354"
犀浦东站(暂停营业),"103.990831,30.736369"
红光镇站,"103.943923,30.771554"
邛崃站,"103.48366,30.410922"
经久站,"102.211416,27.766998"
一步滩站,"104.688448,28.888572"
淮口站,"104.574334,30.733319"
陈家湾站,"104.424299,30.700221"
峨眉山站(西出站口),"103.466889,29.576734"
步行街站,"103.940219,30.958743"
羊木站,"105.778277,32.595312"
成都西站,"103.979246,30.68538"
遂宁站(南出站口),"105.541693,30.542343"
马街站,"103.916304,30.897068"
芭蕉沟火车站,"103.767549,29.203241"
龙桂站,"106.10147,31.065506"
郫县站,"103.908017,30.808289"
道观音站,"104.504228,30.765496"
简阳南站(东北进站口),"104.518154,30.353738"
